id,title,blTitle,url,floor,ns
5,アンパサンド,プログラミング言語,https://ja.wikipedia.org/wiki/アンパサンド,10,0
10,言語,言語学,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,ロシア,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,トルコ,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,首都,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,日本語,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,スペイン語,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,フランス語,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,生物学,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,イタリア語,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,地理学,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,自然言語,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,インドネシア,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,エジプト,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,形式言語,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,イラク,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,テレビ,https://ja.wikipedia.org/wiki/言語,10,0
10,言語,オーストリア,https://ja.wikipedia.org/wiki/言語,10,0
11,日本語,北海道,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,日本の交通,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,宮崎県,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,静岡県,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,フランス語,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,手塚治虫,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,内閣総理大臣の一覧,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,1980年代,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,岩手県,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,蝦夷,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,スペイン語,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,山梨県,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,新潟県,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,コンピュータゲーム,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,日本伝統芸能,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,言語,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,香川県,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,自然言語,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,インドネシア,https://ja.wikipedia.org/wiki/日本語,10,0
11,日本語,言語学,https://ja.wikipedia.org/wiki/日本語,10,0
12,地理学,イタリア語,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,哲学,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,生物,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,宗教学,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,政治学,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,フランス語,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,国の一覧,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,社会,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,生物学,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,言語,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,経営学,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,医学,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,言語学,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,社会学,https://ja.wikipedia.org/wiki/地理学,10,0
12,地理学,文学,https://ja.wikipedia.org/wiki/地理学,10,0
14,EU (曖昧さ回避),フランス語,https://ja.wikipedia.org/wiki/EU (曖昧さ回避),10,0
14,EU (曖昧さ回避),スペイン語,https://ja.wikipedia.org/wiki/EU (曖昧さ回避),10,0
23,国の一覧,地理学,https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,フランス語,https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,イラン,https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,インドネシア,https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,国の一覧 (大陸別),https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,チュニジア,https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,イラク,https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,トルコ,https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,ウェブブラウザ,https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,スペイン語,https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,日本語,https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,ロシア,https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,オーストリア,https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,エジプト,https://ja.wikipedia.org/wiki/国の一覧,10,0
23,国の一覧,イタリア語,https://ja.wikipedia.org/wiki/国の一覧,10,0
31,パリ,エジプト,https://ja.wikipedia.org/wiki/パリ,10,0
31,パリ,シカゴ,https://ja.wikipedia.org/wiki/パリ,10,0
31,パリ,2001年,https://ja.wikipedia.org/wiki/パリ,10,0
31,パリ,ヨーロッパ,https://ja.wikipedia.org/wiki/パリ,10,0
31,パリ,イタリア語,https://ja.wikipedia.org/wiki/パリ,10,0
31,パリ,首都,https://ja.wikipedia.org/wiki/パリ,10,0
31,パリ,チュニジア,https://ja.wikipedia.org/wiki/パリ,10,0
31,パリ,古代エジプト,https://ja.wikipedia.org/wiki/パリ,10,0
31,パリ,ロシア,https://ja.wikipedia.org/wiki/パリ,10,0
31,パリ,フランス語,https://ja.wikipedia.org/wiki/パリ,10,0
32,ヨーロッパ,オーストリア,https://ja.wikipedia.org/wiki/ヨーロッパ,10,0
32,ヨーロッパ,フランス語,https://ja.wikipedia.org/wiki/ヨーロッパ,10,0
32,ヨーロッパ,スペイン語,https://ja.wikipedia.org/wiki/ヨーロッパ,10,0
32,ヨーロッパ,イタリア語,https://ja.wikipedia.org/wiki/ヨーロッパ,10,0
32,ヨーロッパ,パリ,https://ja.wikipedia.org/wiki/ヨーロッパ,10,0
32,ヨーロッパ,イラン,https://ja.wikipedia.org/wiki/ヨーロッパ,10,0
32,ヨーロッパ,日本語,https://ja.wikipedia.org/wiki/ヨーロッパ,10,0
32,ヨーロッパ,ロシア,https://ja.wikipedia.org/wiki/ヨーロッパ,10,0
32,ヨーロッパ,トルコ,https://ja.wikipedia.org/wiki/ヨーロッパ,10,0
42,生物,生物学,https://ja.wikipedia.org/wiki/生物,10,0
42,生物,地理学,https://ja.wikipedia.org/wiki/生物,10,0
47,社会学,社会学者の一覧,https://ja.wikipedia.org/wiki/社会学,10,0
47,社会学,合理主義哲学,https://ja.wikipedia.org/wiki/社会学,10,0
47,社会学,経営学,https://ja.wikipedia.org/wiki/社会学,10,0
47,社会学,フランス語,https://ja.wikipedia.org/wiki/社会学,10,0
47,社会学,政治学,https://ja.wikipedia.org/wiki/社会学,10,0
48,古代エジプト,文学,https://ja.wikipedia.org/wiki/古代エジプト,10,0
48,古代エジプト,太陽暦,https://ja.wikipedia.org/wiki/古代エジプト,10,0
48,古代エジプト,エジプト,https://ja.wikipedia.org/wiki/古代エジプト,10,0
